ID,CREATED,DESCRIPTION,CHALLENGE,LENGTH(DESCRIPTION)
10698,2018+AC0-12+AC0-19 14:30:34.247,A shirt or clothing that serves as a walking advertisement,cc19 c3 fabric display,59
10774,2018+AC0-12+AC0-19 17:09:42.508,Interactive board game carpets. Become a human game piece. ,cc19 c3 fabric display,59
10673,2018+AC0-12+AC0-19 14:16:18.904,A shirt or piece of clothing that displays your phone screen,cc19 c3 fabric display,60
10802,2018+AC0-12+AC0-19 17:30:24.685,street vendors can now display their carts more efficiently,cc19 c3 fabric display,60
10848,2018+AC0-12+AC0-19 18:59:07.402,A display on your shirt sleeve that can tell you the time. ,cc19 c3 fabric display,60
10878,2019+AC0-01+AC0-03 13:20:11.723,It could be used for displaying things on a bulletin board.,cc19 c3 fabric display,60
10887,2019+AC0-01+AC0-03 13:23:27.014,This could be used to create an invisibility cloak. Really.,cc19 c3 fabric display,60
10740,2018+AC0-12+AC0-19 15:33:41.401,Fabric displays could be used as menu boards in restaurants. ,cc19 c3 fabric display,61
10859,2019+AC0-01+AC0-03 13:14:41.903,This could be used to validate coins and detect counterfeits.,cc19 c3 fabric display,61
10985,2019+AC0-01+AC0-04 19:56:30.154,In the NFL on a wrist wrap for quarterbacks to use for plays.,cc19 c3 fabric display,61
10792,2018+AC0-12+AC0-19 17:21:09.286,Interactive tapestries that help children learn about history.,cc19 c3 fabric display,62
10794,2018+AC0-12+AC0-19 17:22:13.007,people have the freedom to customize their clothes with images,cc19 c3 fabric display,62
10831,2018+AC0-12+AC0-19 18:19:17.531,Use for a tablecloth and indicate where the place settings go,cc19 c3 fabric display,62
10767,2018+AC0-12+AC0-19 16:57:13.562,you can have sports games play in picture frames of a man cave,cc19 c3 fabric display,63
10764,2018+AC0-12+AC0-19 16:53:47.625,you can make video editing a lot easier with changing backgrounds,cc19 c3 fabric display,65
10829,2018+AC0-12+AC0-19 18:16:41.166,make a note of a name or phone number if your phone is not handy,cc19 c3 fabric display,65
10863,2019+AC0-01+AC0-03 13:15:41.161,+ACI-This could be used in car seats, airplane seats, or train seats.+ACI-,cc19 c3 fabric display,65
10768,2018+AC0-12+AC0-19 17:02:22.508,broadcasts movies in your basement like a movie theater for cheap,cc19 c3 fabric display,66
10798,2018+AC0-12+AC0-19 17:24:56.667,sports teams can now put more logos on their uniforms efforlessly,cc19 c3 fabric display,66
10771,2018+AC0-12+AC0-19 17:07:18.087,Wall+AC0-sized sheets that could replace TVs or projectors and screens.,cc19 c3 fabric display,67
10956,2019+AC0-01+AC0-03 14:58:50.828,This could be used to make your Halloween costume more interesting.,cc19 c3 fabric display,67
